"expid","peakid","year","season","host","route1","route2","route3","route4","nation","leaders","sponsor","success1","success2","success3","success4","ascent1","ascent2","ascent3","ascent4","claimed","disputed","countries","approach","bcdate","smtdate","smttime","smtdays","totdays","termdate","termreason","termnote","highpoint","traverse","ski","parapente","camps","rope","totmembers","smtmembers","mdeaths","tothired","smthired","hdeaths","nohired","o2used","o2none","o2climb","o2descent","o2sleep","o2medical","o2taken","o2unkwn","othersmts","campsites","accidents","achievment","agency","comrte","stdrte","primrte","primmem","primref","primid"
"ANN260101","ANN2","1960","1","1","NW Ridge-W Ridge","","","","UK","J. O. M. Roberts","","true","false","false","false","1st","","","","false","false","""India, Nepal""","Marshyangdi->Hongde->Sabje Khola","3/15/60","5/17/60","1530","63","0","  -   -","1","","7937","false","false","false","6","0","10","2","0","9","1","0","false","true","false","true","false","true","false","false","false","Climbed Annapurna IV (ANN4-601-01)","""BC(15/03,3350m),ABC(4575m),C1(5365m),C2(5800m),C3(26/04,6400m),C4(30/04,6900m),C5(15/05,7270m),C6(16/05,7200m),Smt(17/05)""","","","","false","false","false","false","false",""
"ANN269301","ANN2","1969","3","1","NW Ridge-W Ridge","","","","Yugoslavia","Ales Kunaver","Mountaineering Club of Slovenia","true","false","false","false","2nd","","","","false","false","","Marshyangdi->Hongde->Sabje Khola","9/25/69","10/22/69","1800","27","31","10/26/69","1","","7937","false","false","false","6","0","10","2","0","0","0","0","false","false","true","false","false","false","false","false","false","Climbed Annapurna IV (ANN4-693-02)","""LowBC(25/09,3950m),BC(27/09,4650m),C1(27/09,5300m),C2(6000m),C3(6400m),C4,C5(7350m),C6(7250m),Smt(22/10)""","Draslar frostbitten hands and feet","","","false","false","false","false","false",""
"ANN460101","ANN4","1960","1","1","NW Ridge","","","","UK","J. O. M. Roberts","","true","false","false","false","""3rd,4th""","","","","false","false","Nepal","Marshyangdi->Hongde->Sabje Khola","3/15/60","5/18/60","","64","0","  -   -","1","","7525","false","false","false","5","0","4","3","0","3","3","0","false","false","true","false","false","false","false","false","false","Climbed Annapurna II (ANN2-601-01)","""BC(15/03,3350m),ABC(4575m),C1(5365m),C2(5800m),C3(26/04,6400m),C4(30/04,6900m),C5(15/05,7270m),Smt(18-19/05)""","","","","false","false","false","true","true","ANN260101"
"ANN469301","ANN4","1969","3","1","NW Ridge","","","","Czechoslovakia","Vladimir Prochazka","""Northern Bohemian Mountaineering Club, Libecec, Czechoslovakia""","true","false","false","false","5th","","","","false","false","","Marshyangdi->Hongde->Sabje Khola","","10/7/69","1430","0","0","  -   -","1","","7525","false","false","false","4","0","9","1","0","1","1","0","false","false","true","false","false","false","false","false","false","","""BC(4000m),C1(5000m),C2(5800m),C3(01/10,6500m),C4(06/10,7100m),Smt(07/10)""","","","","false","false","false","false","false",""
"ANN469302","ANN4","1969","3","1","N Face-NW Ridge","","","","Yugoslavia","Ales Kunaver","","true","false","false","false","6th","","","","false","false","","Marshyangdi->Hongde->Sabje Khola","9/25/69","10/21/69","","26","31","10/26/69","1","","7525","false","false","false","5","0","10","3","0","0","0","0","false","false","true","false","false","false","false","false","false","Climbed Annapurna II (ANN2-693-01)","""LowBC(25/09,3950m),BC(27/09,4650m),C1(27/09,5300m),C2(6000m),C3(6400m),C4,C5(7350m),Smt(10/21/10)""","","","","false","false","true","true","true","ANN269301"
"DHA469301","DHA4","1969","3","1","W Col-W Ridge from S","","","","Austria","Richard Hoyer","Austria Himalaya Expedition 1969","false","false","false","false","","","","","false","false","W Germany","Pokhara->Myagdi Khola","10/1/69","11/10/69","","40","50","11/20/69","6","Abandoned at 6900m+ after disappearance of 5 members and 1 Sherpa","6900","false","false","false","5","0","9","0","5","6","0","1","false","false","true","false","false","false","false","false","false","","""BC(01/10),C1(06/10,5100m),C2(12/10,5800m),C3(20/10,6200m),C4,C5(09/11,6900m),xxx(10/11,6900m?)""","""5 members, 1 Sherpa dead of unknown causes (disappeared on summit attempt)""","","","false","false","false","false","false",""
"EVER69301","EVER","1969","3","1","SW Face (recon)","","","","Japan","Hideki Miyashita","Japanese Alpine Club (JAC)","false","false","false","false","","","","","false","false","","","9/16/69","10/31/69","","45","49","11/4/69","12","Abandoned at 8000m (did not intend to try for summit)","8000","false","false","false","4","0","12","0","0","0","0","0","false","true","false","true","false","false","false","false","false","","""BC(16/09,5400m),C1(28/09,6050m),C2(15/10,6600m),C3(18/10,7000m),C4(29/10,7500m),xxx(31/10,01/11,8000m)""","","","","false","false","false","false","false",""
"GURJ69301","GURJ","1969","3","1","NW Face-W Ridge","","","","Japan","Yoshimi Yakushi","Kitanippon Press & Kitanippon Broadcasting Company","true","false","false","false","1st","","","","false","false","","Pokhara->Beni->Darbang->Budzunge Bara La->Kaphe Khola","10/4/69","11/1/69","1445","28","35","11/8/69","1","","7193","false","false","false","5","0","8","1","0","8","1","0","false","false","true","false","false","false","false","false","false","Climbed Ghustang North (GHUN-693-01)","""BC(04/10,4100m),C1(09/10,4750m),C2A(14/10,5000m),C2B(18/10,5300m),C3.ABC(22/10,5750m),C4(24/10,5900m),C5(29/10,6450m),Smt(01/11)""","","","","false","false","false","false","false",""
"CHUR69301","CHUR","1969","3","1","WNW Ridge","","","","Italy","Paolo Consiglio","Italian Academic Expedition 1969","false","false","false","false","","","","","false","false","","Pokhara->Dhorpatan-Budzunge Bara La->Churen Himal (BC)","10/15/69","11/13/69","","29","37","11/21/69","4","Abandoned at 6500m due to high winds","6500","false","false","false","5","0","10","0","0","6","0","0","false","false","true","false","false","false","false","false","false","","""BC(15/10,4050m),C1(17/10,4750m),C2(20/10,5150m),C3(23/10,5550m),C4(30/10,6000m),C5(12/11,6350m),xxx(13/11,6500m)""","","","","false","false","false","false","false",""
"PK2969301","PK29","1969","3","1","E Ridge","","","","Japan","Senya Sumiyoshi","Himalayan Expedition of Osaka University","false","false","false","false","","","","","false","false","","","9/22/69","11/1/69","","40","0","  -   -","10","Abandoned at 7400m due to difficult ice wall and crevasses near summit","7400","false","false","false","6","0","11","0","0","7","0","0","false","false","true","false","false","false","false","false","false","","""BC(22/09,4100m),C1(27/09,5100m),C2(30/09,5600m),C3(05/10,5900m),C4(18/10,6100m),C5(19/10,6200m),C6(24/10,6900m),xxx(01/11,7400m)""","","","","false","false","false","false","false",""
"KAND69301","KAND","1969","3","1","SW Ridge","","","","Japan","Minoru Ito","Kobe University of Commerce","false","false","false","false","","","","","false","false","","Jumla->Chaudhabise Khola","","10/27/69","","0","0","  -   -","10","Abandoned at 6500m due deep gap blocking route to main summit","6500","false","false","false","4","0","5","0","0","2","0","0","false","false","true","false","false","false","false","false","false","","""BC,C1,C2,C3,C4(6000m),xxx(27/10,6500m)""","","","","false","false","false","false","false",""
"EVER69302","EVER","1969","3","1","S Col (recon)","","","","Japan","Yuichiro Miura","Japanese Ministry of Foreign Affairs","false","false","false","false","","","","","false","false","","","","","","0","0","  -   -","14","Recon only for skiing","7500","false","false","false","5","0","16","0","0","0","0","1","false","true","false","true","false","false","false","false","false","","""BC,ABC(6400m),xxx(7500m)""","1 Sherpa killed by fall into crevasse","","","true","true","false","false","false",""
